formula,target
Fe1.7 Ni1.3 P1,0.152716076
Ce0.82 Mo6 Se8,0.032413675
Ba0.69 Bi0.66 Gd0.35 K0.3 O3,0.260862592
C12.68 B231.32 Sc19.36 Si1.38,0.068857814
Dy2 S4 Sm1,0.272692658
Ce1 Cu3 Nd1 O10.2 Pb2 Sr2,0.098265458
O4 Sn0.2664 Ti0.5336 Zn2 Zr0.2,0.342206396
Ce0.66 O2 Zr0.34,0.213678493
Sb3 Zn3.88,0.175891122
As7 Cd8 Cl1,0.043168448
Nd3 Ni8 Sn16.33,0.016908091
Ga3.57 O12 Sc1.43 Y3,0.059761384
B1 Bi0.09 La2.91 O9 W1,0.028873322
Co0.95 Dy1 Ni0.05 O3,0.039703049
Co0.8 Ni2.2 P1,0.125100606
H1 Ca1.61 Mn0.39 Na0.98 O9 Si3,0.058672706
Ba0.5 La2 Li6 O12 Sr0.5 Ta2,0.355350467
La0.93 Mn1 O3,0.051971195
F6 Gd2 Nd2 O3,0.523028447
Ca0.8 Na1 O12 P3 V2,0.125782254
Al1.02 Mn0.98 Ti1,0.439803828
Bi4 Cd0.5 Cl5 O4,0.051344236
S0.8 Se0.2 Zn1,0.250201212
Al0.48 Co1.52 Lu1,0.367386619
Co0.02 La0.706 Mn0.98 O3 Sr0.294,0.26047612
Ba1 La1 Mn1 O6 Sb1,0.181792733
C0.2 Er5 Si3,0.061024686
H48 Ca2 Na3 O52 V10,0.012054177
Ba6 Ge25,0.090941546
Ge0.95 Sb2.01 Te4,0.289270113
Se2 U1,0.091804277
C0.439 Na0.00365 O2 Si1,0.263481171
Br3 Cs2 I3 Sn1,0.46209812
