formula,target
As2 Cu1 U1,4
Au0.5 Os0.5 Zr1,2
Na1 Sb3 Zn4,5
Ba2 Cu3 O6.79 Y1,8
Li0.5 O2 Ti0.9 V0.1,4
O2 Si0.98 Ti0.02,20
B1 Cr0.4 Fe0.6,2
Ga105.296 Mg69.48 Ni48,8
Eu1 Tl3,2
Er1 Sn3,2
Ba3 Li1 O9 Os2,6
Co1 La1 O2.94,3
Cu0.34 Gd1 In1.66,2
Ba3 Cu2 Rb2 S10 Sb2,8
In0.8 O3 Sn0.6 Zn0.6,2
La1 Ni0.5 Pt0.5 Si1,3
Fe0.5 Gd0.2 La0.3 O3 Sr0.5 Ti0.5,4
Sb2 V0.958,2
Co4 Ga0.1701 In0.05985 Sb11.94,3
Fe3.6 Ga0.4 N1,3
Co1 O2.76 Sm0.1 Sr0.9,9
O7 P2 Sr1 Zn1,11
Gd1 Ge1 Sc0.1 Ti0.9,3
Cu5.27 K0.72 La2 Te6,5
Ag1.44 Mn1 O2 Se2 Sr2,5
Ag1 Sm1,2
Ca0.4 O6 Ru1 Sr1.6 Y1,6
C6 H12 Cr1 Li3 O18,20
Ba4.5 Ga1 Nb9 O30 Sr1.5,9
Ba3.6 Nd9.6 O54 Ti18,20
Ba0.6 Na0.4 Nb0.4 O3 Ti0.6,3
Ca2.5 O8 P2 Sr0.5,18
Fe14 Si2 Y2,6
Ag1 I4 O12 Y1,20
H7.2 Fe3 K0.6 O14.4 S2,7
O12 Pr7,4
K1 Lu1 O7 Ta2,4
O7.5 W0.5 Yb2 Zr1.5,2
Ca1 Cu0.6 Ge2 O6 Zn0.4,6
Al2 Cl8 Eu1,6
P2 S6 Zn2,4
C6 H26 Al1 B7 N6 O14 Zn1,20
Co3.33 Ge2,3
Al1.768 Ga0.232 O3,2
O8 Ti3 Zn2,3
As0.13 Mn1 Sb0.87,2
O1 S2 Tm2,5
Co2 Ge3 Sc3,5
As1 Mn1 Ru1,4
C2 H18 B10 Cu1 N1,20
Er2 Ga10 Os3,5
Cl2 Cs2 Mn1 O6 V2,8
Ba2 Gd1 Mo1 O6,4
Cr1.7 Cu1 Se4 Sn0.3,3
Ba3 Fe3 Nb1 O14 Si2,7
C1 B2 Lu1,4
In3 La1 Pt1,4
F12 Na1 Rb2 Ti3,14
Mn2 O6 Te1,18
Bi2 Ni3 Se2,6
F1.3 N0.9 Th1,4
Ge2 Nd2 O7,20
Ag0.1 Ca0.2 La0.7 Mn1 O3,4
Na1 Pr1 Se2,3
C0.13 Ba2 Ca0.2 Cu2.87 O6.91 Y0.8,10
Ce0.66 Cu2 Eu1 O10 Ru1 Sr2 Tb0.34,8
Cu0.5 La1 Mn0.5 O4 Sr1,4
Cd2.1 O8 P2 Zn0.9,13
