formula,target
C6 H6 Fe1 K2.89 Na0.11 O15,2.14
Fe2 K2 O4,3.37
H3 Yb1,8.36
H1 Ag1 O7 Te1 U1,6.59
In20 Lu10 Ni9,9.76
Ca36.82 Mo12 N56 O3 Sr15.18,4.13
C6 H16 Eu1 N1 O12,2.14
Ca0.5 La0.2 O3 Sr0.2 Ti1,4.68
P5 Re2,8.05
Cs2 F6 Na1 Ti1,4.28
H3 Fe17 Nd2,7.46
Fe1 Se0.975,5.62
Rb2 Re3 Se6,7.38
Ca2 Cl1 O4 P1,2.99
Ba2 Ca0.2 Cu3 O6.49 Y0.8,6.16
I18 Mo6,5.52
Al1 O3 Sm1,7.15
Ba1 Co1.3 Cu0.7 O6 Sm1,7.24
C1 W1,15.68
Fe0.49 Mn0.49 Na0.66 O2,4.04
Eu1 Ga1.76 Li0.24,6.7
H5 N6 O2.5 Zn1,2.16
H4 K2 O10 Se2 Zn1,3.24
Al6.3 Ba8 Ge39.7,5.47
Er3 Si5,6.99
Ca1 Ge1 Mn1,4.31
Cr1 Fe1 O7 Ti2,4.62
B7 Cl1 Fe1.43 Mg1.55 Mn0.021 O13,3.24
Co0.667 Ni2.333 S2 Sn2,7.04
H2.29 Al3.72 B3 Fe1.76 Ga3.26 Na0.95 Ni0.26 O31 Si6,3.6
Ni0.05 O1 Zn0.95,5.65
O30 Ta11.08 Tl4.62,8.07
In1 Nb1 O6 Sr2,5.96
Eu0.18 Mg0.96 O13 Si3 Y3.86,4.55
Co0.2 Ge1 Mn1 Ni0.8,7.7
Cu1 In0.975 Mn0.025 Se2,5.71
Cd3 O12 Se1 Te3,5.84
Cu0.063 Mg0.824 S4 Zr2,4.0
Ge1.5 Rh1 S1.5,6.04
Ag0.63 Gd3 Ge1 S7,5.61
Ba0.5 Ga2 Sr0.5,5.11
B41.2 Si1.42 Y1,2.71
Ag1 Ce1 Ge1,7.72
Cu2 Se0.38 Te0.62,7.58
Co0.3 Hf0.5 Rh0.7 Sb0.99 Sn0.01 Zr0.5,9.63
C1 Ag3 N3 O6,4.31
H5 Ir1 Sr2,5.61
H6 F3 Fe1 O3,2.33
Ga2 Mg0.8 Ni0.2 O4,5.49
Ga4 In5 O14 Rb1,6.28
Li1 O12 P4 Yb1,3.79
Br8 Mn7 O18 Sb10,4.99
Co11 Mn6 Yb2,8.9
Cu2.559 Eu1 Ga10.234,8.11
Ba17 O57 Pt4 Yb16 Zn8,8.29
Ir1 O5.87 Sr2 Zn1,7.06
Fe10.205 Mo1.795 N0.44 Pr1,8.17
Li0.5 Mn1.5 O4 Zn1,5.06
Bi1 Gd1 Pt1,12.51
Fe4.4 Ni17.6 Se16,7.13
Ni1 Si1 V1,6.22
Co1 Ni2 S2 Sn2,7.04
In9.42 Lu26 Pt7.58,11.24
As0.9 Fe1 N1 P0.1 Th1,9.02
Cu2 Ho0.67 Te2,7.47
Cs1 Ga1 O4 Ti1,3.99
H2 Cs1 O8 P2 Sc1,3.41
Nb6 Pb1 Se8,7.74
Cu3 Ho7 Te12,7.14
B0.1 Mn1 Pd3,10.47
Ga2.96 La2.55 Lu2.45 O11.93,7.17
Br4 Ga1 Tl1,4.82
Al3 Ti1,3.36
In1 Li2,3.78
Mg0.374 O6.813 Ti2 Y1.626,4.63
In5.5 O12 Sb1.5,7.26
Al0.1 B1 Fe0.702 Mg1.988 O5 Ti0.21,3.69
H10 Ag2 B10,2.68
C60 Na3,1.84
Al1 Ba1 F6 Na1,3.99
C0.871 Al4.832 Ca2.78 Cl0.127 K0.03 Na1.19 O26.621 S0.002 Si7.168,2.71
Cu0.35 Er1 Ga2.65,8.29
H2 Cs2 F4 O2 V1,4.09
C1 B5 Na1,2.16
C12 H4 Cd6 Cl1 K1 O26,3.61
Ni4 Pu1,11.45
H30 Cd2 Cl10 N12,2.15
H5 Cs1 O8 P2,2.78
N9 Pr5 Si3,6.52
C0.65 Zr0.35,2.55
H6.42 Ba0.02 Ca0.06 Fe0.18 K0.08 Mg0.07 Mn0.22 Na0.23 Nb0.41 O20.71 Si4 Ti2.66 Zn1.31 Zr0.12,2.97
C1 Cr2.5 Fe11.5 Nd2,7.71
Co1 Ge1 Mo1,9.8
Cu0.2 Ga0.1 Ni0.7 O4.062 Pr1.3 Sr0.7,6.83
Bi1.39 Mg0.44 Ni0.22 O6.62 Ta1.32,7.48
Al2 Ba0.94 K0.06 O8 Si2,3.35
Al0.62 Ca0.02 Fe1.34 Mg0.72 Mn0.72 Na0.93 O12 P3,3.54
O4 Pb0.1 Sr0.9 W1,6.56
F1 Lu1 S1,6.68
Ca1 Cs5 F15 Ni4,4.77
Bi0.3 Co0.25 Fe0.75 O3 Sr0.7,6.27
Co0.5 Cr0.5 La1.15 O3.82 Sr0.85,6.2
Ge3 Pr4,6.77
Ba3.87 O54 Sm9.42 Ti18,5.91
Br4 K1 Tl1,4.36
C6 H5.6 Fe2 N6 Na1 O2.8,2.05
Ba1 Bi1 Se3,6.43
La0.82 Mn1 O3 Sr0.18,6.55
H9 Al12 Ca18.76 Cu0.43 Mg0.07 Mn0.43 Na0.31 O78 Si18,3.41
Ni2.42 O4 Si0.05 Ti0.74,5.6
Au2 Lu1,16.22
O10 Re3,6.67
H29.2 K6 O59.6 P1 V18,2.75
H64 Cr2 K10 Nb12 O70,2.39
Cu1 Te1,7.11
La0.8 O3 Sc1 Y0.2,5.6
Mn3 O14 Sb3 Tm2,6.93
Ag0.7 Cd0.25 In0.05,10.09
As1 Hf2.27 Nb0.73,11.9
C1 H15 Ca1 O19 U3,4.33
Er2 O7 Si2,5.98
Bi3.1 Cl1 La0.5 Nb0.6 O8 Pb0.4 W0.4,8.42
H29.788 Ca1.534 K1 Mg1 O50.894 Si18,2.11
B1 O8 P2 Rb1 Zn1,3.3
Au0.94 Cd0.06 Sr1,7.86
In1 Pr4 Sb1 Se9,6.22
Bi4 Ge1.62 O12 Si1.38,6.93
B1 Fe1 O4 Zn1,4.79
O8 P2 Rb3 Y1,3.96
H9 Al10.144 Ca19 Fe1.821 Mg1 O78 Si18,3.38
Dy1 Ni1 Si2,7.13
Bi0.1 In1.9 O6 Te1,6.93
Fe10.44 Mo1.56 Nd1,8.27
Cu2 Gd1 O7.96 Ru1 Sr2,6.69
Ba5 F1 O12 V3,4.9
Fe0.375 Ga0.125 O3 Sr1 Ta0.5,6.8
Co2 Li2 Mo3 O12,4.33
Ce0.4 O1.79 Pr0.2 Zr0.4,6.53
Ca1.333 La2.666 Ni2.666 O11.997 W1.333,6.99
C20 Cl13 La20,5.18
C2 H6 S2,1.33
H4 Mo7 O42 Rb2 U6,5.1
H32 K2 Mg2 O44 V10,2.54
Ge2 Hf0.3 Nb0.7,8.78
As2 K4 Zn1,2.4
C1 In1 Y3,5.55
H64.76 Co4 Na10 O100.38 V2 W18,4.16
F1 Li1,2.64
I10 W4,6.5
Cs4 S14 Zr3,3.5
H1 Ca1.64 Na0.36 Nb1.92 O7 Ti0.08,4.45
Se1.4 Te0.6 W1,9.45
La4 N2 Te3,6.26
Co0.9 Cr2 Mg0.05 Ni0.05 O4,5.19
K2 O2 Zn1,3.45
