,formula,target
395,Er1 Ga0.9 Ge5.1 Mn6,1
396,Ca4 O10 Ti3,0
397,Ba3 Nb10 O28,1
398,Co0.06 O1 Zn0.94,1
399,H16 Co1 N2 O16 P4,0
400,Bi2 Ga1 O7 Ta1,1
401,O5 Se1 Tl1 V1,0
402,In1.02 La3 Pb3.97,1
403,H2 N1 O5 Y1,0
404,Au5 Mn2,0
405,Al0.25 Ni3 Ti0.75,1
406,La1 Si5,1
407,Nd1 Zn11,0
408,Bi2 Cd1 O15 P4 Rb2,0
409,C3 B3 Co9 Mn14,1
410,Mn0.2 O4 Ru0.8 Sr2,1
411,Bi12.86 I6 Ni4,1
412,Pd2.25 Rh0.75 Ta1,1
413,Bi1 Br1 Cd1 Se2,0
414,Cu1 S2 Y1,0
415,As0.5 Ni1 Sb0.5,1
416,Ba0.15 Eu0.85 F2.85,1
417,Al0.55 Cu0.45 Dy1,1
418,Ce0.133 O3 Sr0.795 Ti1,1
419,As2 Si1 Zn1,1
420,Ba0.05 Co1 Nd0.95 O3,1
421,Ga1 Nb4 Ni1,1
422,Pd2.75 Yb1,1
423,Co1 F4 K2,0
424,B14 Ho4 Ni1,0
425,Pd3 S4 U0.9,1
426,Fe1.7 Ni1.43 O4,1
427,Ag5 Si9 Sr8,1
428,Al0.99 As1.63 K1.97 Nb1.38 O10,1
429,Cr0.78 O4 Sb0.41 Zn1.82,1
430,B3 Ba2 Li0.5 Na0.5 O9 Sr2,1
431,Ir0.87 V0.13,1
432,Cu1.29 Ga2.51 Y0.975,1
433,O4 P1 Rb1 Zn1,0
434,B2 Ga2 K2 O7,0
435,Ni4 P2 Yb1,0
436,S4 Sc2 Sr1,0
437,Cu2 Eu1 Ge2,0
438,C2.9 U0.3 Y1.7,1
439,Ba1 Ca0.15 La1.85 O4.925 Zn1,1
440,K3 Na2 P3 Sn1,0
441,Ba24 Ge87.2 In12.8,1
442,O3.6685 Ti3.19,1
443,Bi12 Mn0.005 O20 Si0.995,1
444,Bi0.71 Fe0.71 O3 Pb0.29 Ti0.29,1
445,C1 Hg0.8 Ti3.2,1
446,H1 As0.931 Ca1 Mg1 O5 P0.069,1
447,Br3 Cu1 K2,0
448,Cs2 F7 Rb1 Si1,1
449,H28 Al0.43 Fe0.57 N1 O20 S2,1
450,Ge1 Nb9 Ni4,0
451,Ag4.93 Al31 Mg2 O51,1
452,K2 O8 Pb1 S2,0
453,Co2.08 Er6 Pb0.63,1
454,As1 Ga0.5 In0.5,1
455,Cu4 O36 P8 Zn12,0
456,Li1 Nd1 O8 W2,1
457,Ba2 Cr1 Mo0.8 O6 W0.2,1
458,Bi2 Ce1 Zn0.47,1
459,Al7.64 Gd1 Mn4.36,1
460,Ag1 Sc1 Se2,0
461,Cu0.5 Fe2 Ni0.5 O4,1
462,Ni3 Sn4,0
463,H3 Co2 Na1 O10 Se2,1
464,Ir1 Nb1.2 V1.8,1
465,Ag1 Pr1,0
466,Co1 Cu1 O2,0
467,I1 Na1 O6 Pb2,0
468,Al22 O34 Tl2.47,1
469,Gd1 Re2,0
470,Cs0.3 I14 Si1 Zr6,1
471,Ba4 Ga4 S12 Sn1,1
472,Co0.33 K1 Nb0.67 O5 P1,1
473,Ni3 Sb4 Zr3,0
474,Bi2 Cr1 I2 O11,0
475,Rb10 S14 Tc6,1
476,Co2 Y3,0
477,Eu0.96 Mo1 O4,1
478,O2.61 Pb0.963 Ti1,1
479,O3 Rb0.33 W1,0
480,Ba1.99 Cu3 O8 Y1.01,1
481,Eu5 Li6 Sn9,0
482,Cm1 S2,0
483,Fe0.11 Ga3.2 Ho1,1
484,Be1 F5 K3,0
485,Re2 Yb1,0
486,F13 O9 Pb3 Ta5,1
487,Bi1 O3 Rb3,0
488,Co1 N6 O12 Pb1 Rb2,0
489,Rh1 Te2,0
490,Nd2 S5 Zr1,0
491,La1.34 Ni1 O3.89 Sr0.58,1
492,Ge1 Ti3,0
493,Fe3.88 La2 Sb4.92,1
494,Ce0.1 O2 Th0.9,1
495,Ba1.5 Cu3 La0.75 O7 Y0.75,1
496,Ba0.9733 Ca0.1967 Eu0.03 Na2 O8 P2 Sr0.8,1
497,Ti0.89 V0.11,1
498,In1 Yb2,0
499,Os2 Pu1,0
500,Ag0.44 Ca0.41 Ce0.59 Sb1,1
501,H12 Ge1 Na2 O7 S2,0
502,Ce0.05 Cu2.59 O9 Sr2 V0.41 Y1.95,1
503,Cu24 Ga53.57 Mg35.12,1
504,Ba1.5 Cu3 La1.5 O7.02,1
505,I3 Ir1 Y3,0
506,Bi1.86 Cu1 O6 Pb0.3 Sr1.84,1
507,Ce1 N5 Si3,0
508,Cd0.5 Pb0.5 Te1,1
509,Ce9 O5 Sb5,0
510,K1 Na2 Ni1 O2,1
511,Bi3 Nb0.5 O7 Ta0.5,1
512,Cu1 Ge1 La3 S7,0
513,Cl3 La3 Mo1 O6,0
514,C1 Cr0.3 S2 Ta2,1
515,Ag1 Pb1 Tm1,0
516,Fe2 Mg11 Si5 Yb6,1
517,Al0.94 Mg0.71 Mn1.35 O4,1
518,Ni1 Sn1 U1,1
519,Dy3 Ge1 Mg0.5 S7,1
520,Ga3.97 Ho20 Sb12.02,1
521,H9 Al2 Ni6 Y3,0
522,Ni2 S1 Te1,1
523,Al5.4 Cl2 Ga0.6 Na8 O24 Si6,1
524,Ni1 O9 Se3 Sr2,0
525,Ga3.46 O48 Ti21.54,1
526,Ba1 Mn3 O10 Sr3,1
527,In1 K1 Te2,0
528,Ti3.2 Tl0.8,1
529,Pd20 Si6 U3,0
530,La0.64 Nb0.08 O3 Ti0.92,1
531,B5 Cu1 Lu1 O10,0
532,Cd6 Pu1,1
533,La1 O7 Si2 Y1,1
534,Ca1 Co1 Gd1 O4,1
535,Fe1.34 Ga1.34 O6.03 Sc1.34,1
536,Br4 Th1,0
537,Ce1 Fe1.7 Rh0.3,1
538,Br5 Rb3 Zn1,0
539,Mn1.5 Ni0.5 P1,1
540,H6 F2 Ga4 O16 P3,0
541,O3 Y1.5,1
542,Fe2 Rb3 S4,0
543,C1 U0.41 Zr0.59,1
544,Co0.95 Ni0.05 O3 Sm1,1
545,Ba1 Co1 Pr2 S5,0
546,Gd1 K1 Na1 O5 Ta1,0
547,Ge2 Ni1 Yb1,0
548,As4 Mo3 Na2 O20,1
549,Pd4 Yb3,0
550,B10 Co29 Lu3 Si4,0
551,C1 B4 Cl6 O1,0
552,Be20 Eu1 N14,0
553,Ag1 Cs5 O9 Si3,0
554,H30 N6 O24 P6 Te1,0
555,As2 K1.31 Na0.69 Se4,1
556,Ba1.75 Cu3 La0.25 O7 Y1,1
557,Al2 Ba1 S4,0
558,Al0.25 Fe4.75 Mo9,1
559,Al0.99 Fe15.52 Nd2 Ti0.49,1
560,Ag1 Ba1 Sb1,0
561,Gd1 In1 Pd1,0
562,Ge6 Mn5.26 Na2.74 O20,1
563,Fe2 N1,1
564,O8 Sr1 Te1 V2,0
565,Cu0.83 Si0.17,1
566,Al0.15 Ba0.3 La0.7 Mn0.85 O3,1
567,K3 O21 Ta7.1 Ti0.9,1
568,Ba2 Cu2.97 Fe0.03 La1 O7,1
569,Fe1 Si1 U1,0
570,Ce0.5 Cu1.1 Hg0.4 La0.6 O5 Sr1.4,1
571,Al2 Mg0.98 Mn0.02 O4,1
572,B2 Ce1 Co3,0
573,Cu0.75 La1.5 O4 Pt0.25 Sr0.5,1
574,Bi24.22 Fe1.78 O39,1
575,Al1.82 Mg1 O4 V0.17,1
576,Cl2 Nd2 O8 Ti3,0
577,Ag1 Gd1 Se2,0
578,K1 O15 Pb2 Ta5,1
579,Al0.34 Ba0.81 Eu0.19 N9.66 O0.34 Si6.66,1
580,C4 H17 Al2 N2 O12 P3,0
581,Er4 Ge6 Os7,0
582,Ag1 Ca0.49 Sr0.51,1
583,Ga0.33 K1 O18 W5.66,1
584,Ba1 In0.5 O2.74 Zr0.5,1
585,S0.55 Se0.45 U1,1
586,O3 Ti0.11 V1.89,1
587,Mo6.5 Ni5.2 Si1.3,1
588,Bi1 Mn0.9 O3 Sc0.1,1
589,Fe1 Li13 O24 Se8,0
590,Nb1 Rh1 Si1,0
591,Ba1 Cu1 Fe1 O5 Pr1,1
592,Cr1.2 Mn0.8 Tm1,1
593,Li0.8 Mn0.5 Ni0.5 O1.87,1
594,Ni1.2 Si0.8 V1,1
595,Cu1 Rh2 S0.8 Se3.2,1
596,Al8.19 Ga3.81 O19 Sr1,1
597,Co0.73 Ge1 Ni0.97,1
598,Bi0.2 Ce1 Sb0.8,1
599,B2 Ba1 Be2 O6,0
600,Ga1 N5 O14,0
601,Al0.01 Ca0.01 Fe0.35 Mg1.64 O4 Si0.99,1
602,C1 Ho1 Rh3,0
603,La1.475 Mg1.96 O7.13 Zr1.475,1
604,Fe17 N3 Sm2,0
605,Mg4 Na1 O12 V3,0
606,La1 Si2,0
607,Li2 Pt1 Sn1,1
608,C0.42 Fe14.94 Nd2 Si2.06,1
609,Au2 Ho7 Te2,0
610,Mg0.096 O1.904 Zr0.904,1
611,Ga3.96 Mg2.04 O8,1
612,Ba1 Ca0.18 Co2 Nd0.82 O5.5,1
613,Cu0.14 In1.8 O3 Sb0.06,1
614,Hf0.98 O2 Y0.02,1
615,Al1.37 Cr0.63 Se3,1
616,As2 Ba1 O10 V2,1
617,Co0.9 Fe0.1 Nd0.3 O2.65 Sr0.7,1
618,B4 Fe4 Gd1,0
619,Ni10 P6 Sr1,0
620,Cr0.7 La1 Mn0.3 O3,1
621,K2 S3 Ti1,0
622,H2 Co1 O5 S1,0
623,H3 Cd1 Ge1 O7 P1,1
624,Ca1 In2 Pt1,0
625,La0.568 Mn1.018 O3 Sr0.413,1
626,Mo0.9 Os1.1,1
627,Rb2 Te3 Zr1,0
628,Al7.16 Ga3.84 Na1.32 O17.16,1
629,Ce1 Co0.5 Ge1.5,1
630,As1 F1 Mg2 O4,0
631,Al1.66 Fe0.34 Sc1,1
632,Li1 Mn1 O4 Ru0.5 Ti0.5,1
633,Si2.42 Sr2 Zn1.58,1
634,Ge1.35 Li10.35 P1.65 S12,1
635,Au2 Er7 Te2,0
636,B0.087 Er0.174 Fe1.74,1
637,B1 Fe0.9 Ga0.1 O3,1
638,Ca0.23 La0.67 Mn1 O3 Sr0.1,1
639,Nd2 Pb1 S8 Si2,1
640,In1 La3 Se7 Sn0.5,1
641,C10 Fe2 O10 Se1 Te1 W1,0
642,Ba2 Cu3 O6.47 Y1,1
643,Cu12 K12 Sn21,1
644,Mg1.47 Mn0.53 O6 Si2,1
645,Cu1 La0.8 O2.64 Sr0.2,1
646,Co1.5 Fe1.5 O9.9 Pr1 Sr3,1
647,Co1 Li1.865 O7 P2,1
648,Si1 Te2,1
649,Ce1 Ge1 Pd2,0
650,H2 Ce1 K1 O9 S2,0
651,Ni1 O6 Pr2 Zr1,0
