,formula,target
652,Mg2 Na6 O15 V4,1
653,B2 Ce1 Rh0.3 Ru2.7,1
654,Cd2 Pd1 Sr1,0
655,Cu0.89 Ga0.52 In0.48 Se2,1
656,As1 F8 Sb1,0
657,C1 Br2 O3 Pb2,0
658,Cl2 F12 Ir2 P4,0
659,Cd2 Tm1,0
660,Bi1 N1 Nd2,0
661,H4 F6 Fe1 Mn1 N1,1
662,Co0.91 La1.67 Mn0.97 O6 Pb0.33 Pt0.12,1
663,Na1 P2 S6 Yb1,0
664,Cr1 Si2 Zr1,0
665,Au2 Th1,0
666,Pr0.525 Th0.475,1
667,Ge4 Mn1 O12 Tm2,1
668,Se3.16 Sn1.16 V1,1
669,Na2 O16 P4 Zn5,0
670,Ca2 Fe1 N2,0
671,Bi2 Se9 Sn6,1
672,C3 B3 Fe11.5 Mn11.5,1
673,Cs4 S23 Sb14,0
674,C14 H34 Eu1 N6 O9 Pt1.5 S4,1
675,Cs8.5 O48 W15,1
676,Gd1 In2.8 Mn0.2,1
677,B1 Co3 Fe1 Nd1,1
678,Fe1 O7 P2 Sr1,0
679,Co1 P0.28 S1.72,1
680,Al3.71 Ga0.29 Ni2.04 Si0.96 Th1,1
681,Fe1 Se0.05 Te0.95,1
682,Ga2 La3 Ni4,0
683,Al1.5 Co0.5 Gd1,1
684,Co1 Nd0.75 O4 Sr1.25,1
685,Mo2.5 Nb2.5 Si3,1
686,Al1 Cu1 Ta1,1
687,Ba1 Co1.8 Nd1 Ni0.2 O5.624,1
688,Co0.1 La1 Ni0.9 O2.54,1
689,B8 Ca6.6 Cd1.4 O20,1
690,H8 F5 N2 Nb1 O2,0
691,Bi1 Ca1 Cs3 O14 P4,0
692,As1 In2 Pt8,0
693,Fe2.2 Li0.2 O4 Zn0.6,1
694,Hg1 N6,0
695,C1 V2,1
696,Ba3 Fe26 O41,0
697,N2 U1 Y1,1
698,La6 Mg23 Sb1,0
699,Mn1 Na0.1 O3 Pr0.5 Sr0.4,1
700,In1 P1 S4,0
701,In1.932 Mn1.068 Na1.12 O12 P3,1
702,Au0.667 Cd0.333,1
703,Ca4 Fe5 O13 Y1,0
704,B2 Cr1 O6 Yb1,1
705,Cd0.06 O3 Pb0.94 Ti1,1
706,Hf21 Re25,0
707,Al6 Ho1 Mn6,1
708,C2 H4 Mn1 O6,1
709,Sn4 Th5,0
710,As1.78 Rh1.51 U1,1
711,Cd81.199 Cu15.659 Ir5.873,1
712,Co4.2 Gd2 Zn12.8,1
713,Dy1 In3,0
714,Cl9 N1 W2,0
715,Cl7 Mo2 O2 Tl1,0
716,Ca1 Pt5,0
717,Bi10 Cd3 O20,1
718,Cs4 I13 Os1 Pr6,0
719,Ag1 Sb0.7 Se2 Sn0.3,1
720,Al6 Cr6 Lu1,1
721,Ca9.615 Mn0.885 O28 P7,1
722,Ca1.6 Fe1 La0.4 O6 Re1,1
723,Hg1 Na2 Tl1,1
724,Cr1.9 Se7 Sn3.04,1
725,Co1.5 Sn1,1
726,In9 Ni4 Sm11,0
727,H8 Cu1 O16 P4 Rb2,0
728,Ba1 Co1 F6 Li1,0
729,Hf1 Mo1 P1,0
730,Mo2.25 O1,1
731,Al1 Gd0.8 O3 Sm0.2,1
732,As2 Ca0.696 Co1.88 Eu0.304,1
733,C0.01 Co1,1
734,Bi1 Fe1 O6.25 Pb1 Sr2,1
735,C1 H1 N2 Na1,0
736,Co2 Mn0.4 O4 Ti0.6,1
737,B6 Pr0.5 Sm0.5,1
738,Ce1 Cu1 Ga3,1
739,K8 Mo6 O24 Th1,0
740,Fe2.1 Li0.1 Ni0.4 O4 Zn0.4,1
741,C16 Co4 O16 Pb1,0
742,Mn1.5 O1 Ti1.5 V1.5 Zr1.5,1
743,Ga3 Yb1 Zn1,1
744,In2.27 Ir1 Mg0.73,1
745,Mn1.063 O3 Tb0.911,1
746,C8 H36 Co3 N9 O21,1
747,H1.51 Fe11.31 La1 Si1.69,1
748,As1 F6 N5 S6,0
749,In0.9 Sr1 Zn0.097,1
750,Co1 F1 Li1 Na1 O4 P1,0
751,O3 Y0.2 Yb1.8,1
752,K1.8 Li2.45 O16 Sb5.55,1
753,Al1.976 Fe0.037 Mg0.979 Mn0.002 O4 Ti0.002 Zn0.003,1
754,Cr1 Nb1 P1,0
755,C0.01 H1.3 Ca5 O13.33 P3,1
756,F6 K1.6 Mn1 Rb0.4,1
757,Dy4 Ga21 Ni10,0
758,Br6 Rb2 W1,0
759,I5 Pr4 Ru1,0
760,Ba1 F6 Ti1,0
761,In0.482 Mo15 S19,1
762,H2 As3 Cd0.74 Mg2.76 O12,1
763,Ba1 O3 Pu1,0
764,Ag3 Pt1,0
765,Mo3 O8 Sc1 Zn1,0
766,Ca1 O3 Rh1,0
767,Ba4 Li1.6 O12 U2.4,1
768,Ga0.26 Mn0.74 O2.83 Sr1,1
769,Al2 Ca3 Ge3,0
770,Cl5 K2 N1 O1 Ru1,0
771,Cl11 Nb3 Tl1 V1,0
772,Ca1 Mn0.965 Mo0.035 O3,1
773,Ca0.6 O3 Ru1 Sr0.4,1
774,In0.203 Li1 O6 Sc0.797 Si2,1
775,H10.3 Al16.32 Cs10.85 Na3.12 O101.15 Si31.68,1
776,B1 S3 Tl1,0
777,Ni1.05 Pt0.3 Sn1,1
778,Al20.1 Nb1.9 U1,1
779,C12 H24 Au2 Br4 Cu1 N4 O4 S4,0
780,In0.44 Ir1.52 Tb3,1
781,Cs1 Er2 F7,0
782,In1.3 Yb1 Zn0.7,1
783,Co15 Cr2 Pr2,1
784,Fe0.67 Mn0.33 O2.79 Sr0.75 Y0.25,1
785,Cr1 La2 O6,0
786,Al0.566695 As0.766705 Ni2.0001,1
787,Cs3 F7 Ge1,0
788,Sb2 Te1,0
789,Cu1 Er3 S7 Si1,0
790,Cs1 Mn1 Na1 O7 P2,1
791,Ir1 Sn1 Tm1,0
792,Al6 Cl2 Ge6 Na8 O32,1
793,Al4.4 Fe1.3 K0.74 Mg0.88 O30 Si10.42,1
794,Cu1 Ga0.99 Mg0.01 O2,1
795,Al5.91 Au7.09 Ba1,1
796,C0.76 Cr8.105 P6,1
797,Cl2 Cu1 O6 Se2 Sr2,0
798,Ba1 Np1 O8 P2,0
799,Al0.58 Ga0.42 O4 P1,1
800,Ag0.0338 Mg0.9662,1
801,Cr3 S8 Tl1 V2,1
802,Cr0.2 La0.75 Mn0.8 O3 Sr0.25,1
803,Li1.6 Mg1.6 O8 Sn2.8,1
804,Eu0.415 Na0.55 O4 W1,1
805,Ir0.075 Nb0.925 S2,1
806,C2 Ba1 F2 O6 Pb2,0
807,Li3 Mo3 O12 Ti0.75,1
808,Fe0.5 Mo3 N1 Ni1.5,1
809,K0.06 Nb0.1 O2 Ti0.9,1
810,F2 Fe2 O1 S2 Sr2,0
811,Au0.53 Ga2.47 Hf1,1
812,C1 H2 Br1 Cl1,1
813,Bi6 Co1 O16 S2,0
814,Mo9 Rb2 S11,0
815,Co0.75 Fe0.75 Mn0.5 Si1,1
816,Fe5.499 V0.287 Y0.608,1
817,As1 Co0.15 Mn0.85,1
818,Co4 Dy11 In9,0
819,C22 H40 Cr2 Mn3 O34,1
820,C2 Ce0.25 Nd0.75,1
821,H1 B1 O9 P2 Rb1 V1,0
822,C1 H7 N3 O4 Se1,0
823,In4.5 O12 Sn2 Ta0.5,1
824,O2 Ti0.936,1
825,C1 Cl2 Gd2,0
826,B2 Fe2 Lu1,0
827,As1 Fe0.278 O1 Pr1 Ru0.722,1
828,Ag1 Bi1.47 Pb1 S6 Sb1.53,1
829,Ge5 Mn4.02 Ti1.98,1
830,H12 F6 Mn1 O6 Ti1,0
831,Er1.6 Gd0.4 O3,1
832,H4 Mn1 O10 Re2,1
833,Al1 K0.35 Na0.61 O4 Si1,1
834,Ba2 Bi1 Ce1 O6,1
835,P1 S6.15 Se1.1 Ta1,1
836,Mn1.67 Sb0.3 Sn0.7,1
837,Al0.986 Ca2 Fe1.014 O5,1
838,Ca1 Na1 O9 P3,0
839,H15 Cl2 Cr1 N6 O5,1
840,Cr9 Ge8 Nd2,1
841,In14 K3 Mg20,0
842,Cr1 N1 O9 Rb1 U1,0
843,Np1 Sb2,0
844,H3 Cl3 N1 Sc1,0
845,Sn3 Yb5,0
846,Bi4 Cr0.9 F1 Fe4.1 O13,1
847,Al1.768 Ga0.232 O3,1
848,H8 Ca1 N12 O4 Rb2,0
849,Ca0.9 Fe1 Na0.1 O6 Si2,1
850,O4 Sn0.24975 Ti0.50025 Zn2 Zr0.25,1
851,H1 Ca5 F1 O9 Si2,1
852,Ni0.05 S2 Ta1,1
853,Fe0.5 La0.5 O2.875 Sr0.5 Ti0.5,1
854,Ca1 Mg1 Pd1,0
855,C16 H60 Cs2 N4 Nb10 O32,0
856,Mo3 Se13,0
857,Co1 Cu0.06 Mn1 Sn0.94,1
858,Fe1 Hf0.32 Zr1.68,1
859,Gd10.272 Mn0.57 S16,1
860,C2 H6 S2,0
861,Al2.499 Cu0.501 Ti1,1
862,Cr0.4 Mn0.6 Ni2 Sn1,1
863,B2 Gd2 Na2 O7,0
864,Al0.3 Mn2 Zr0.7,1
865,Ir1.95 O7 Ti0.05 Y2,1
866,Cs2 Mo1 O7 U1,0
867,Ba7.972 Dy0.56 Fe4.788 O24 U2.68,1
868,B2 Ru3 Th1,0
869,H1.166 Ca1 O4.583 S1,1
870,Pr5 Sn4,0
871,Co3 P2 Tm1,0
872,Ba3 Bi1 N1,0
873,Ag9 In4,0
874,H1 Na2 O9 P3,0
875,Au6 Sm1,0
876,Eu0.622 Mo1 Na0.134 O4,1
877,Fe1 Pb2 S3,1
878,Mn2 O9 Pb2 Si2,1
879,C8 H12 Br5 Cr1 N4,0
880,Sb3 Sm1 V0.98,1
881,Co0.7 Fe0.3 Li1 O2,1
882,Co0.2046 Li0.665 Ni0.7954 O2,1
883,Ni1 Sm1,0
884,Ni0.02 Sn0.98 Te1,1
885,Ag2.61 Mo9 Rb1 Se11,1
886,Ce1 Ni0.3 Si1.7,1
887,As2 Ba2 Mn1 O2 Zn2,0
888,O4 Si1 Zr1,0
889,Ga1 Pd1 Sm1,0
890,Al1.167 Li2.833 O4 Sr0.833,1
891,B5 Ga2.7 Ir9,1
892,Ca1 O12 Pd3 Ti4,0
893,As0.56 Co4 Sn2.28,1
894,O2 Pt1,0
895,Cr1 Na1 S2,0
896,Ba0.8 Bi1 K0.2 O3,1
897,Co5 P3 Sm1,0
898,Co1 O1,0
899,H6 Nd2 O20 Se7,0
900,Cu0.4 La2 Ni0.6 O4.14,1
901,Bi8 Se7,0
902,Ce0.12 O2 Zr0.88,1
903,Ca2 I1 Na1 O6,0
904,B16 Ho10 Si3.88,1
905,Lu6 Mn23,0
906,Se4 Tm2.667,1
907,Ca2.88 Eu0.06 Na0.06 O8 P2,1
908,C2 B13 Na1,0
909,Ba1 Fe0.789 Na1.632 O8 V2,1
910,Au0.815 I3.185 La3,1
911,Ni0.8 V1.2,1
912,Ni3 Sb2 Zn1,0
913,I3 Li2 O9 Rb1,0
914,Ag0.81 Al11 Cd0.205 O17.11,1
915,Eu0.01 Mn0.01 Na0.98 O6 Sc1 Si2,1
916,Ba0.67 N1 O5 Si2 Sr0.33 Y1,1
917,Ba8 Fe3.72 O24 Tm1.6 U2.68,1
918,Co1 Na1 O6 W1 Y1,0
919,Ni1 Se5 Ta2,0
920,Ba2 Ce3 F1 O12 Si3,1
921,In0.75 Nb0.75 O4 Ti0.5,1
922,Co0.667 Li0.667 Mn0.333 O2,1
923,Cs2 F5 K1 O1 Zr1,1
924,Fe3.63 N1 Sn0.37,1
925,As2 Cd1 F12 O4 S2,0
926,Au8.06 Ba2 Sn0.94,1
927,Ca1 Eu0.3 Ge3 O10 Y1.7,1
928,Cu0.8 S4 V2 Zn0.2,1
929,Fe5.667 Sm0.667,1
930,S0.8 Se0.2 Zn1,1
931,Fe0.054 Mg0.946 O3 Si1,1
932,Lu2 O4 Sr1,0
933,Fe3 Sn2,0
934,Au1 Li2 Mg1,1
935,As0.5 Fe1.019 Mn0.981 P0.5,1
936,In1 Na3 Se4 Zn1,1
937,Co1 Sn1,0
938,Al11.89 Co4.11 Ho3,1
939,Cl18 Lu1 Nb6,0
940,B4 F9 P1,0
941,Cu1 P1 S5 Ti1,0
942,Ag3.54 Cu6.3 Fe0.72 S12.71 Sb4 Zn1.44,1
943,Ga47.45 K4 Na13,1
944,Ni0.7 V1.3,1
945,Al1 Bi0.032 F1 O4 Sr2.952,1
946,H14 Al1 I5 O21,0
947,H4 O4 P2 Sr1,0
948,Ni3 Ta0.17 Ti0.83,1
949,Bi6 Cl20 Te4,0
950,Ni0.3 O6.85 Sm1.7 Ti2,1
951,C6 Cl7 O6 Ru2 Sb1,0
952,C6 H20 Cr1 K1 N20,1
953,C10 H20 Co1 N6 Nd1 O6 S2,1
954,Cr0.15 Ta0.85,1
955,Fe2.5 Ga2.5 O12 Y3,1
956,H10 Na4 O11 Sn4,0
957,Cd0.9 Mn0.1 S1,1
958,Ag3 Br0.33 I0.67 S1,1
959,B2 Cr0.5 Nb0.5,1
960,H2.6 Cr2 Zr1,1
961,Co3 Hf2 Si4,0
962,K3 Mo2 Np1 O10,0
963,K2 Mo8 O16,0
964,Cu1 La1.958 O3.66 Y0.042,1
965,Ru1 S2,0
966,La0.99 Sb3 V0.97,1
967,Cs4 Ge5 Pb4 S16,0
968,Au0.86 Sn0.14,1
969,Fe3 Sm1,0
970,Ba3 Ga2 N4,0
971,Cs1 Ga5 Mn4 Te12,1
972,Al1 Ni0.33 Ru0.67 U1,0
973,Se17 U8 V1,0
974,Hg3.03 In0.97 Sr1,1
975,H12 Br6 O6 Zn3,0
976,Ba3 Ir1 O9 Ru1 Yb1,1
977,C15.45 La12.07 Re4.97,1
978,Al0.3 Ga0.7 Zr1,1
979,Au0.9 Li1.1,1
980,Cs2 Na1 P2 S8 Tb1,1
981,Na3 Ni1 O12 P3 Zr1,1
982,B1 Sc3 Sn1,0
983,As3 K1 O12 Zr2,0
984,Dy1 Os2 Si2,0
985,Ba5 Br6 Ge1 O4,0
986,Ba2 Cu4 O8 Y1,1
987,Cu5 Sn1 U1,0
988,Ge6 La8.92 O26.46 Sr1.08,1
989,Bi0.33 F2.33 Pb0.67,1
990,H40 I3 Mn1 Na7 O36,0
991,Al2 Co7 Fe4 La1,1
992,Au1 Ce1 Ga1,0
993,Li1.34 O4 Ti1.66,1
994,As4 Cu11.67 Fe0.33 S13,1
995,Cr0.4 Mn1 Ni0.6 Sb1,1
996,Al6.7 Ba8 Ge39.3,1
997,Fe1 Mo1 O6 Sm0.05 Sr1.95,1
998,B2 Ca1 Rh3,0
999,O7 Ta1 Y3,1
1000,Eu0.05 La0.95 Na1 O8 W2,1
1001,Am0.93 Np0.07 O4 P1,1
1002,B6 Co21 Sn2,0
1003,B2 Ca1 F1 Li3 O5,1
1004,C4 H10 B13 Ga1 Gd2 O29,0
1005,Ca0.4 Cu2 Lu0.6 O6.94 Sr2 Tl0.97,1
1006,Eu1 N1 Nb1 O2,1
1007,Ba0.265 N2 O6 Pb0.735,1
1008,Ga5.04 La3 O13.98 Si0.96,1
1009,As0.99 Cd0.01 In0.99 Te0.01,1
1010,Ga0.9 Ge1.35 Zr0.75,1
1011,La1 Li0.333 O3 Ti0.667,1
1012,Cu3 Li0.64 N1,1
1013,C4 H4 Lu1 Na5 O14,0
1014,Al1 Er1 Ni4,1
1015,Li0.55 Mn2 O4,1
1016,Co0.27 Fe0.63 Si0.1,1
1017,Ge5 Ir3 Y2,0
1018,Lu1 O4 Ta1,0
1019,Ca1 Cr1 O6 Sb1 Sr1,1
1020,Ni0.75 Sb0.13 Zn1.12,1
1021,Ca1.73 Ge3 Na2.54 O9,1
1022,Br1 Mo1 O4 Yb1,0
1023,C3 H10 Cl3 N1 Sn1,1
1024,N5 P3,0
1025,K2 S3,0
1026,Ag1 O4 Re1,0
1027,Ca8 O28 P7 Sm1 Zn1,1
1028,Co1 Ge0.5 Mn1 Si0.5,1
1029,Fe1 Ge4 Lu1 Mn1 O12,1
1030,B8 Ba4 Br3 Ga2 Na1 O18,0
1031,Ge6 Lu2 Pd1,0
1032,Cs2 F12 Li1 Ti3,0
1033,Co1 Fe0.036 Li0.893 O4 P1,1
1034,H11 N2 O8 P1 S1,1
1035,Fe1 Nd1 Si2,0
1036,Ga1 I4 Tl1,0
1037,C6 Cs4 F6 N4 O6 Pt1 S2,0
1038,Ca2 O12 Si4 Zr1,0
1039,Ta1 V1,1
1040,Ag0.78 Pb1.22 Y1,1
1041,Ca8.2 Eu1 Ge0.4 O28 P6.6 Zn1,1
1042,H3 Nd1 O6 P2,1
1043,Cr0.94 Cu1 Fe0.06 O2,1
1044,Al5.098 Fe11.902 Tb2,1
1045,Cu1 O6 Se2 Sr1,0
1046,Al4 Na6 O17 Si4,1
1047,H2 Li1 O5 P1 Zn1,0
1048,Ba1 Bi0.39 Fe0.6 O2.67,1
1049,Fe0.59 La0.63 O3 Pb0.37 Ti0.41,1
1050,Mo15 Se19 Sn2,0
1051,Cu2 Ge2 Pr1,0
1052,Cu0.815 Ga0.9 In1.48 Se4,1
1053,Ga0.015 U0.985,1
1054,C1 B1 Mo1.65 Zr0.35,1
1055,Ge9 K4 O20,0
1056,Bi3 Nb17 O47,1
1057,C3 K4 O11 U1,0
1058,C1 Ca0.94 Mg0.06 O3,1
1059,Eu0.1 Si2 Sr0.9,1
1060,Ag2 Hg2 O12 Te3,0
1061,Al2 Dy0.75 Tb0.25,1
1062,Cl1 Gd0.4 La0.6 O1,1
1063,Ga6 Nd1,0
1064,Ba1.75 Mg1 O7 Si2 Sr0.25,1
1065,Al0.9 Ba0.01 La0.89 Mg0.1 O3 Sr0.1,1
1066,H12 Mn3 N2 O16 P4,0
1067,Rh1.1 Ti0.9,1
1068,Cu0.59 O5 V2,1
1069,O2 Th0.12 U0.68 Zr0.2,1
1070,B4 Br1 Na3 O7,0
1071,Cu3.74 P2 Pr1,1
1072,Ba1 F4 O4 P2,1
1073,O1 Yb1,0
1074,In1 Nd1 Pd1,0
1075,Ba1 F5 Mn1,0
1076,Co2.86 Fe0.14 S2 Sn2,1
1077,Ca2.682 Mg0.153 O8 P2 Sr0.165,1
1078,N2 S1 Zr2,0
1079,H6 N2 S1,0
1080,Al6 Ca1 Te10,1
1081,C6 N9 Sm1,0
1082,C2 H9 N4 O8.5 S1 U1,1
1083,Ba2 N3 Nb1,0
1084,H2 Ca1 Pd1,1
1085,Al2 Cu3 Yb1,1
1086,Ce1 S5 U2,1
1087,Al2 Cl8 Sb10 Se10,0
1088,As1 Si1 Ta1,0
1089,Cl2 Cu3 O6 Se2,0
1090,Cl2 S7 Te1,0
1091,Fe11 Re1 Y1,1
1092,Fe1 Nd4 O1 S6,0
1093,Fe0.95 Ni2.05 S4,1
1094,Al2 Au1,0
1095,Ba0.15 Bi0.8 Fe1 Nd0.05 O3,1
1096,C3 H3 N3 O3,0
1097,Hf2 Ni3 P3,0
1098,La1 Rh1 Sn1,0
1099,Ga1 Li4 O6 Sb1,1
1100,In5 Mn4 Rb1 Se12,1
1101,Er3 S6 Sc1,1
1102,Ba0.5 Ca1.5 N6 O3 Si5,1
1103,Fe0.79 Li0.91 Mn0.21 O4 P1,1
1104,O12 Tb6 U1,0
1105,Eu0.15 La2.85 N11.777 O4.222 Si8,1
1106,Ge1 Li2 Mg1 O4,1
1107,Nb3.7 Si3 Ta1.3,1
1108,C1 H30 Al1 N1 O20 S2,1
1109,Fe0.9 La0.6 Ni0.1 O3 Sr0.4,1
1110,Ca3.69 F2 Na0.17 O7 Si2 Zr0.14,1
1111,F4 K1 Sb1,0
1112,H6.94 Fe3 O14 P1.94 Pb1 S0.06,1
1113,Gd2.79 Se4,1
1114,  H3.29 Al7.28 B3 Ca0.03 F0.35 Fe1.31 K0.01 Li0.15 Mg0.01 Mn0.33 Na0.58 O30.65 Si5.74 Ti0.01 Zn0.09,1
1115,H2 Fe2 Mo2 O14 Se2,0
1116,O25 Ta9 V1,0
1117,Fe0.961 V0.039,1
1118,Nd2 O7 Ti0.444 Zr1.556,1
1119,C0.84 Nb1,1
1120,Al1.95 Li1.63 Zn1.42,1
1121,Fe1 Ga1 U1,1
1122,Ga27 Rb8 Sb19,0
1123,B1 Co2 Fe12 Nd1.86 Zr0.14,1
1124,Nb0.125 Tc0.875,1
1125,H6 Fe1 O12 P3,0
1126,Hg1 Th1,1
1127,Br6 Cs2 Pd1,0
1128,Ba6 Cu2 Fe1 S16 Sn4,1
1129,Al3 Lu1 Ni2,0
1130,Co0.2 Cu0.1 Mn2.09 Ni0.61 O4,1
1131,Mg1.4 O4 Sn1 Zn0.6,1
1132,Gd1 La1 N2,1
1133,C9 H29 Br7 N4 Pb2,0
1134,Al0.54 Fe1.46 K1 Li3 Na2 O30 Si12,1
1135,Bi1 O4 Re1,0
1136,Cr1 Gd1 O6 Te1,0
1137,Al2.625 Fe0.249 Ga0.126 Ti1,1
1138,Ag5.15 Bi4.85 Br4.3 S7.7,1
1139,Ba3 Li1 N1,0
1140,Te3 Tm2,0
1141,C1 S3 Tl2,0
1142,Ba0.8 Cr0.2 La0.2 O3 Ti0.8,1
1143,Gd3 Ge1.45 Se7,1
1144,Ce1.34 Ho1.66 O3 Sb1,1
1145,Fe2 O14 Pb3 Si2 Te1 Zn1,1
1146,C10 H30 N2 O26 P4 U2,0
1147,La0.5 Li0.04 Na0.46 Nb2 O6,1
1148,In2 Mg1 S4,1
1149,F2.3 Pb0.85 Zr0.15,1
1150,Eu1 Ge3 Ir1,0
1151,H8 N2 O12 Se1 W3,0
1152,N20.243 O0.757 Si11 Yb6.081,1
1153,C10 H14 Fe2 N12 Na1 O9 Sm1,0
1154,Fe2 Si2 Sm1,0
1155,Ca0.28 Sr0.72 Zn1,1
1156,  H3.248 Al7.191 B3 Ca0.51 F0.752 Fe0.027 Li1.359 Mn0.423 Na0.408 O30.248 Pb0.026 Si6,1
1157,Au0.48 Os0.48 Zr1,1
1158,H2 Co1 O2,0
1159,Au0.93 Sn0.07,1
1160,Ce3 Sn1,1
1161,Au1 Ce1 Ga3,1
1162,Co0.667 La1 Ni0.333 O3,1
1163,Ba1 Cl2,1
1164,O8.85 Te3 U0.91,1
1165,Cs3 O12 S3 Yb1,0
1166,Ca3 Cu2 P4 Zn2,0
1167,La0.68 Mn0.83 O3 Pb0.32 Ti0.17,1
1168,Ca14 Ga10 O35.25 Zn6,1
1169,Dy3 Ge13 Rh4,0
1170,Ca1 Ga1.5 Zn0.5,1
1171,Er0.5 Ni2 Tb0.5,1
1172,La0.402 Li0.368 O3 Sr0.23 Ti1,1
1173,B2 O6 Sr3,0
1174,Ba0.029 O4 S1 Sr0.971,1
1175,Fe0.6 Li1 Mn1.4 O4,1
1176,C12 H36 Fe1 O46 P1 S6 W12,1
1177,Ce1 Cu2 K5 N12 O24,0
1178,Ag10.7 Al12 K1.3 O48 Si12,1
1179,B21 Cs1 Na8 O36,0
1180,Co1 Mg4 Y9,0
1181,H16 Al4 Ni0.72 O20 V1.88 Zn0.28,1
1182,Mo4 Na5 O16 Tb1,0
1183,Eu1 Sn2 Zn2,0
1184,Ca0.121 Fe1.008 Mg0.871 O6 Si2,1
1185,In2 Pt3 Sr1,0
1186,Fe0.5 Li1 Mn0.5 O4 P1,1
1187,Al10.1 Ca0.95 Mg0.9 O17,1
1188,Co8 Fe20.1 Mo0.9 Sm3,1
1189,Ba4 O10 Ru3,0
1190,C2 Cl10 Pr6,0
1191,Cr0.5 Fe0.5 Ga1,1
1192,Be1 Hf1,0
1193,Fe2 Gd2 O7 Sr1,1
1194,Al12 Pr3 Ru4,0
1195,Al2 Ca1 O16 Si6,1
1196,Co1 Er1 O3,0
1197,Bi2 O4 Pd1,0
1198,C10 N2 O12 Ru3,0
1199,Co0.78 O2.48 Sr1,1
1200,N1 O3 P1 Sr2,0
1201,F1 Fe1 Li0.5 O4 S1,1
1202,Ca0.7 Ho0.3 Mn1 O3,1
1203,Gd44 Ru25,0
1204,Au3 Sm1,0
1205,Co1 Si3 Th1,0
1206,Ba1 O3 Sb0.01 Sn0.99,1
1207,C3 Ni22 Pr2,0
1208,N0.5 Ta1,1
1209,Na2.9 O11.9 P2.9 Sc2 Si0.109,1
1210,Co0.5 Fe0.5 O3 Y1,1
1211,Ba1 Pd2 Sb2,0
1212,Ca3 Ge1 N1,0
1213,Co1.334 Ga0.666 Gd1,1
1214,Ca0.81 O3 Sr0.19 V1,1
1215,Mo3 Ni2 P1.167,1
1216,Ba2 Cu1.04 O5.668 Tl1.96,1
1217,Os2 W1,1
1218,B1 Mo0.25 Ti0.75,1
1219,H11.68 N2.67 O8 Rb0.33 S2,1
1220,Al1.25 Nd1 Sn0.75,1
1221,Pd1 Sb2 Tb1,0
1222,Ca0.85 Na0.15 O6 Sc0.15 Si2 Zn0.85,1
1223,Fe0.73 O9 Rh2.27 Sr4,1
1224,Cr0.2 Fe0.6 Mo0.2,1
1225,Ce0.29 F2.29 Sr0.71,1
1226,Si1 V2.4 W0.6,1
1227,La7 O7 Se5 V1,0
1228,Ba3 Cu14.35 Se8.55 Te2.45,1
1229,H2.36 Cs0.41 Na0.67 O7.18 W2,1
1230,As1 Mg3 N1,0
1231,Ir3 U1,0
1232,Gd1 Ni7 Si6,1
1233,C8 H24 B2 F8 Pd1 S4,1
1234,Ca0.48 Si3 Sr4.52,1
1235,H3 As1 Ba1 O5,0
1236,Li2 O10 U1 W2,1
1237,Li1.042 Mn1.958 O3.956,1
1238,C0.62 Hf1 N0.095 O0.285,1
1239,C0.32 Al45 Cr7,1
1240,C0.167 H2.998 Al0.35 O3 Zn0.65,1
1241,La2 Ru1 Sn4,1
1242,C0.5 N0.5 Ta1,1
1243,As2 Cu1.24 La1,1
1244,F3 In1 O4 Rb2 S1,0
1245,Ba0.3 Cr0.7 La0.7 O3 Ti0.3,1
1246,Ba4 Cu6 Nd2 Ni1 O15,1
1247,Cu7 Te4,0
1248,Ag6.4 As0.6 Te4,1
1249,O18 P6 Ru2,0
1250,Co1 Ni1 V6,1
1251,H4 Ca1 O6 Se1,0
1252,Ge1 La3,0
1253,N1 Nb3 Zn3,0
1254,Cr1.6 Nb2.4 Se10,1
1255,B29 Cs18 F1 Mg6 O58,1
1256,Cu2 Si2 Tm1,0
1257,O3.12 Ta1.52,1
1258,B6 Ba0.67 Sr0.33,1
1259,Ba1 K4 O12 U3,1
1260,Ce1 In1 Zn1,0
1261,C1 Pb1 Ti2,0
1262,Ba1 Co4 Ho1 O7,0
1263,Gd3 In4 Ru2,0
1264,Bi1 Pt2 Sb1,1
1265,Ca0.5 O4 Sr0.5 W1,1
1266,Cu1 La1.5 Nd0.5 O3.5,1
1267,Ag0.5 Er1 In0.5,1
1268,Al3 Ba17 O7,0
1269,Ge1 O5 Pb3,1
1270,Na2 Nb4 O19 Se4,0
1271,Nb0.088 O2 Ti0.912,1
1272,Al41.24 Cr5.76 Yb6,1
1273,Gd1 Nd1 O7 Sc0.15 Zr1.85,1
1274,Pt1 Pu2,0
1275,Ga1 La5 O17 Ti4,1
1276,H4 Al1.01 K0.084 Mg0.08 Mn0.92 O10 Si2 V0.99,1
1277,Ba2 Ca1.45 Cu2 O6.98 Tl1.55,1
1278,Co3 Dy1 P2,0
1279,Cr2 Er1 Fe10,1
1280,Ga6 Pb1 Te10,1
1281,Li7 N3 O1 Si1,1
1282,Ba1 Cu3 O6.741 Sr1 Y1,1
1283,Ba1 Tl4,0
1284,Fe1 Ni3 Si1 Sm0.75 Tb0.25,1
1285,Pd3 Te2,0
1286,Al3 Br12 Pr1,0
1287,Mn0.92 Pb3.08 Sb4 Se10,1
1288,Ba8 Ge42.5 Pd2,1
